league_id,league_name,country,season,total_missing,sampled,api_ok,partial,no_data,error,coverage_pct,avg_latency_ms,decision
268,Uruguay Primera División - Apertura,Uruguay,2025,175,0,0,0,0,0,,,DRY_RUN
78,Bundesliga,Germany,2023,173,0,0,0,0,0,,,DRY_RUN
262,Mexico Liga MX,Mexico,2020,170,0,0,0,0,0,,,DRY_RUN
135,Serie A,Italy,2015,169,0,0,0,0,0,,,DRY_RUN
140,La Liga,Spain,2015,169,0,0,0,0,0,,,DRY_RUN
71,Brazil Serie A,Brazil,2023,168,0,0,0,0,0,,,DRY_RUN
268,Uruguay Primera División - Apertura,Uruguay,2024,154,0,0,0,0,0,,,DRY_RUN
78,Bundesliga,Germany,2015,153,0,0,0,0,0,,,DRY_RUN
88,Eredivisie,Netherlands,2016,153,0,0,0,0,0,,,DRY_RUN
265,Chile Primera División,Chile,2023,151,0,0,0,0,0,,,DRY_RUN
203,Süper Lig,Turkey,2016,144,0,0,0,0,0,,,DRY_RUN
94,Primeira Liga,Portugal,2016,135,0,0,0,0,0,,,DRY_RUN
250,Paraguay Primera División - Apertura,Paraguay,2019,132,0,0,0,0,0,,,DRY_RUN
250,Paraguay Primera División - Apertura,Paraguay,2020,132,0,0,0,0,0,,,DRY_RUN
250,Paraguay Primera División - Apertura,Paraguay,2022,132,0,0,0,0,0,,,DRY_RUN
250,Paraguay Primera División - Apertura,Paraguay,2023,132,0,0,0,0,0,,,DRY_RUN
250,Paraguay Primera División - Apertura,Paraguay,2024,132,0,0,0,0,0,,,DRY_RUN
250,Paraguay Primera División - Apertura,Paraguay,2025,132,0,0,0,0,0,,,DRY_RUN
252,Paraguay Primera División - Clausura,Paraguay,2019,132,0,0,0,0,0,,,DRY_RUN
252,Paraguay Primera División - Clausura,Paraguay,2022,132,0,0,0,0,0,,,DRY_RUN
252,Paraguay Primera División - Clausura,Paraguay,2023,132,0,0,0,0,0,,,DRY_RUN
252,Paraguay Primera División - Clausura,Paraguay,2024,132,0,0,0,0,0,,,DRY_RUN
252,Paraguay Primera División - Clausura,Paraguay,2025,132,0,0,0,0,0,,,DRY_RUN
270,Uruguay Primera División - Clausura,Uruguay,2023,123,0,0,0,0,0,,,DRY_RUN
242,Ecuador Liga Pro,Ecuador,2023,121,0,0,0,0,0,,,DRY_RUN
268,Uruguay Primera División - Apertura,Uruguay,2020,121,0,0,0,0,0,,,DRY_RUN
270,Uruguay Primera División - Clausura,Uruguay,2025,121,0,0,0,0,0,,,DRY_RUN
268,Uruguay Primera División - Apertura,Uruguay,2019,120,0,0,0,0,0,,,DRY_RUN
268,Uruguay Primera División - Apertura,Uruguay,2021,120,0,0,0,0,0,,,DRY_RUN
270,Uruguay Primera División - Clausura,Uruguay,2022,120,0,0,0,0,0,,,DRY_RUN
270,Uruguay Primera División - Clausura,Uruguay,2024,120,0,0,0,0,0,,,DRY_RUN
344,Bolivia Primera División,Bolivia,2025,120,0,0,0,0,0,,,DRY_RUN
128,Argentina Primera División,Argentina,2020,108,0,0,0,0,0,,,DRY_RUN
250,Paraguay Primera División - Apertura,Paraguay,2021,90,0,0,0,0,0,,,DRY_RUN
252,Paraguay Primera División - Clausura,Paraguay,2021,90,0,0,0,0,0,,,DRY_RUN
252,Paraguay Primera División - Clausura,Paraguay,2020,71,0,0,0,0,0,,,DRY_RUN
344,Bolivia Primera División,Bolivia,2024,31,0,0,0,0,0,,,DRY_RUN
239,Colombia Primera A,Colombia,2024,13,0,0,0,0,0,,,DRY_RUN
28,League 28,,2023,12,0,0,0,0,0,,,DRY_RUN
28,League 28,,2021,11,0,0,0,0,0,,,DRY_RUN
265,Chile Primera División,Chile,2025,11,0,0,0,0,0,,,DRY_RUN
